Resource Id,Resource Name,Building Id,Resource Category,Resource Type,Floor Name,Capacity,Floor Section,User Visible Description,Description
 52540397625,Magic School Bus,Zone-Create,CONFERENCE_ROOM,Work room,1,6,,,
 54640181680,Unicycle,Zone-Share,CONFERENCE_ROOM,Work room,1,6,,,
 56926771571,Rickshaw,Zone-Share,CONFERENCE_ROOM,Chill room,1,2,,,
 56969045184,Rickshaw,Zone-Share,CONFERENCE_ROOM,Chill room,1,2,,,
 5749069826,Discovery One,Zone-Create,CONFERENCE_ROOM,Work room,1,6,,,
 58650270226,Pumpkin Coach,Zone-Create,CONFERENCE_ROOM,Work room,RDC,6,,,
 60170045557,Optimus Prime,Zone-Create,CONFERENCE_ROOM,Chill room,1,6,,,
 6068485779,Boardroom Daphni,Zone-Share,CONFERENCE_ROOM,Board room,1,11,,,
 6571086330,Stargate,Zone-Create,CONFERENCE_ROOM,Work room,1,6,,,
 6915230941,Icebreaker,Zone-Share,CONFERENCE_ROOM,Work room,1,2,,,
 70978498586,Hogwarts Express,Zone-Create,CONFERENCE_ROOM,Work room,RDC,6,,,
 73721385874,Fire truck,Zone-Share,CONFERENCE_ROOM,Work room,1,4,,,
 74080244126,Batmobile,Zone-Create,CONFERENCE_ROOM,Chill room,RDC,6,,,
 74165392817,Bateau mouche,Zone-Share,CONFERENCE_ROOM,Work room,1,6,,,
 75692758281,Catamaran,Zone-Share,CONFERENCE_ROOM,Work room,1,6,,,
 7574964714,Kitt,Zone-Create,CONFERENCE_ROOM,Chill room,RDC,6,,,
 78434567421,Nautilus,Zone-Create,CONFERENCE_ROOM,Chill room,RDC,6,,,
 80538405295,Pirogue,Zone-Share,CONFERENCE_ROOM,Work room,1,2,,,
 81681151850,Flying carpet,Zone-Create,CONFERENCE_ROOM,Work room,1,6,,,
 82933232898,Snowpiercer,Zone-Create,CONFERENCE_ROOM,Work room,1,6,,,
 83125423925,Ecto-1,Zone-Create,CONFERENCE_ROOM,Work room,1,4,,,
 83521720280,Mystery Machine,Zone-Create,CONFERENCE_ROOM,Chill room,1,6,,,
 83557169342,Tardis,Zone-Create,CONFERENCE_ROOM,Work room,RDC,6,,,
 8428768825,Hoverboard,Zone-Share,CONFERENCE_ROOM,Work room,1,6,,,
 84491896212,Surfboard,Zone-Share,CONFERENCE_ROOM,Work room,1,6,,,
 84727404887,Limousine,Zone-Share,CONFERENCE_ROOM,Work room,1,2,,,
 8480315148,Tesla,Zone-Share,CONFERENCE_ROOM,Chill room,1,2,,,
 85149508760,Snow mobile,Zone-Share,CONFERENCE_ROOM,Work room,1,4,,,
 85537575553,Boardroom PlugAndPlay,Zone-Share,CONFERENCE_ROOM,Board room,1,11,,,
 85825333654,Racing shell,Zone-Share,CONFERENCE_ROOM,Work room,1,6,,,
 92248355274,Moving Castle,Zone-Create,CONFERENCE_ROOM,Work room,RDC,4,,,
 92875748313,Kinto-un,Zone-Create,CONFERENCE_ROOM,Chill room,1,6,,,
 92963897144,Tramway,Zone-Share,CONFERENCE_ROOM,Work room,1,6,,,
 93188675743,Monster truck,Zone-Share,CONFERENCE_ROOM,Work room,1,6,,,
 9342473365,Caravan,Zone-Share,CONFERENCE_ROOM,Work room,1,2,,,
 93573354813,Tricycle,Zone-Share,CONFERENCE_ROOM,Work room,1,2,,,
 95133007860,Roller blade,Zone-Share,CONFERENCE_ROOM,Chill room,1,2,,,
 9554915647,Bobsled,Zone-Share,CONFERENCE_ROOM,Work room,1,2,,,
 967817716,USS Enterprise,Zone-Create,CONFERENCE_ROOM,Chill room,1,6,,,
 97977600376,Yellow Submarine,Zone-Create,CONFERENCE_ROOM,Chill room,RDC,6,,,
